start,end,paper,dataname,method,n_samples,n_neighbors,1-NN,Trustworthiness,Continuity
,,comparative,twinpeaks,isomap,2000,12,0.004,0.995,0.997
,,comparative,twinpeaks,isomap,2000,14,0.003,0.994,0.996
,,comparative,twinpeaks,isomap,2000,15,0.003,0.993,0.995
,,comparative,broken.swiss,isomap,2000,5,0.173,0.923,0.993
,,comparative,broken.swiss,isomap,2000,6,0.182,0.916,0.992
,,comparative,broken.swiss,isomap,2000,7,0.153,0.922,0.992
,,comparative,broken.swiss,isomap,2000,8,0.174,0.918,0.991
,,comparative,broken.swiss,isomap,2000,9,0.172,0.918,0.99
,,comparative,broken.swiss,isomap,2000,10,0.167,0.92,0.99
,,comparative,broken.swiss,isomap,2000,11,0.168,0.92,0.99
,,comparative,broken.swiss,isomap,2000,12,0.163,0.921,0.989
,,comparative,broken.swiss,isomap,2000,13,0.164,0.921,0.989
,,comparative,broken.swiss,isomap,2000,15,0.146,0.919,0.988
,,comparative,broken.swiss,isomap,2000,14,0.156,0.92,0.988
,,comparative,broken.swiss,isomap,2000,5,0.173,0.923,0.993
,,comparative,broken.swiss,isomap,2000,6,0.182,0.916,0.992
,,comparative,broken.swiss,isomap,2000,7,0.153,0.922,0.992
,,comparative,broken.swiss,isomap,2000,8,0.174,0.918,0.991
,,comparative,broken.swiss,isomap,2000,9,0.172,0.918,0.99
,,comparative,broken.swiss,isomap,2000,10,0.167,0.92,0.99
,,comparative,broken.swiss,isomap,2000,11,0.168,0.92,0.99
,,comparative,broken.swiss,isomap,2000,12,0.163,0.921,0.989
,,comparative,broken.swiss,isomap,2000,13,0.164,0.921,0.989
,,comparative,broken.swiss,isomap,2000,15,0.146,0.919,0.988
,,comparative,broken.swiss,isomap,2000,14,0.156,0.92,0.988
,,comparative,swiss,isomap,2000,5,0.073,0.998,0.999
,,comparative,swiss,isomap,2000,6,0.069,0.998,0.999
,,comparative,swiss,isomap,2000,7,0.067,0.999,0.999
,,comparative,swiss,isomap,2000,8,0.057,0.999,0.999
,,comparative,swiss,isomap,2000,9,0.056,0.999,0.999
,,comparative,swiss,isomap,2000,11,0.062,0.998,0.999
,,comparative,swiss,isomap,2000,10,0.057,0.998,0.999
,,comparative,swiss,isomap,2000,12,0.06,0.998,0.999
,,comparative,swiss,isomap,2000,13,0.06,0.998,0.998
,,comparative,swiss,isomap,2000,14,0.059,0.998,0.998
,,comparative,swiss,isomap,2000,15,0.059,0.998,0.998
,,comparative,swiss,isomap,2000,5,0.073,0.998,0.999
,,comparative,swiss,isomap,2000,6,0.069,0.998,0.999
,,comparative,swiss,isomap,2000,7,0.067,0.999,0.999
,,comparative,swiss,isomap,2000,8,0.057,0.999,0.999
,,comparative,swiss,isomap,2000,9,0.056,0.999,0.999
,,comparative,swiss,isomap,2000,11,0.062,0.998,0.999
,,comparative,swiss,isomap,2000,10,0.057,0.998,0.999
,,comparative,swiss,isomap,2000,12,0.06,0.998,0.999
,,comparative,swiss,isomap,2000,13,0.06,0.998,0.998
,,comparative,swiss,isomap,2000,14,0.059,0.998,0.998
,,comparative,swiss,isomap,2000,15,0.059,0.998,0.998
,,comparative,orl,le,2000,14,0.258,0.961,0.975
,,comparative,orl,le,2000,6,0.145,0.979,0.99
,,comparative,orl,le,2000,11,0.253,0.965,0.978
,,comparative,orl,le,2000,12,0.29,0.963,0.976
,,comparative,orl,le,2000,13,0.263,0.962,0.975
,,comparative,orl,le,2000,7,0.215,0.975,0.986
,,comparative,orl,le,2000,9,0.235,0.967,0.979
,,comparative,orl,le,2000,15,0.268,0.961,0.973
,,comparative,orl,le,2000,8,0.203,0.97,0.983
,,comparative,orl,le,2000,5,0.133,0.982,0.992
,,comparative,orl,le,2000,10,0.235,0.967,0.978
,,comparative,orl,le,2000,14,0.258,0.961,0.975
,,comparative,orl,le,2000,6,0.145,0.979,0.99
,,comparative,orl,le,2000,11,0.253,0.965,0.978
